STT,X,Y,Label,Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,NDVI,NDWI
104,578512.4,2299290,Rice Paddies,905.5,911.3571429,512.3928571,2433.714286,1975.25,1347.555556,744.2142857,0.457656848,-0.455104525
105,560002.7,2329934,Rice Paddies,875.3695652,895.8478261,469.3695652,2799.021739,2709.586957,2186.315789,1282.369565,0.523529481,-0.515085548
106,582833.8,2302431,Rice Paddies,931.027027,964.5405405,544.8108108,2590.432432,2150.783784,1660.333333,892,0.471226611,-0.457357033
107,570804.8,2312062,Rice Paddies,910.2765957,922.4468085,510.1276596,2094.042553,1742.617021,1348.086957,722.8297872,0.394021373,-0.388397108
108,615571.2,2284148,Rice Paddies,813.1515152,849.0909091,470.2121212,2815.757576,2657.636364,2028.769231,1285.333333,0.551847955,-0.536629734
109,521240.8,2350348,Rice Paddies,627.1111111,705.9111111,368.8444444,3018.8,2890.222222,1854.791667,1076.022222,0.655992101,-0.620957927
110,556790.8,2331516,Rice Paddies,845.9534884,845.3255814,454.9302326,2717.627907,2588.860465,1993.333333,1221.953488,0.525222862,-0.525491655
111,621224.3,2322265,Rice Paddies,900.1176471,913.0980392,529.8627451,2868.27451,2694.568627,2058.96,1294.156863,0.522280267,-0.517054706
112,522690.5,2361519,Rice Paddies,950.9777778,870.8444444,469.6666667,2122.533333,2448.911111,1848.428571,999.8222222,0.38117824,-0.418152663
113,606334.1,2340166,Rice Paddies,913.0857143,943.2,535.1714286,2770.628571,2405.742857,2101.571429,1154,0.504258125,-0.492060561
114,609141.7,2331819,Rice Paddies,926.3571429,976.8214286,555.0357143,2479.464286,1945.464286,1505.666667,910.2857143,0.456015436,-0.434756551
115,623403.9,2326890,Rice Paddies,797.7083333,852.5208333,469.6041667,2645.145833,2329.604167,1652.346154,1001.979167,0.536600568,-0.512520252
116,588123.2,2286288,Rice Paddies,946.4444444,1032.87037,567.3888889,2071.12963,1683.796296,1250.888889,677,0.372711707,-0.334490741
117,622848.1,2285608,Rice Paddies,868.4857143,892.6857143,499.8,2886.428571,2678.257143,1970.058824,1179.8,0.537413827,-0.527568818
118,597032.4,2319557,Rice Paddies,690.1875,790.6875,469.1875,2638.6875,2278.9375,1685.125,859.5625,0.585332883,-0.538873701
119,573744.7,2306722,Rice Paddies,815.2608696,854.3695652,478.2391304,2744.043478,2581.891304,2066.85,1207.869565,0.541898759,-0.525140914
120,581402.1,2292510,Rice Paddies,865.7894737,923.1578947,537.1315789,2611.236842,2325.921053,1783.933333,1136.921053,0.501994293,-0.477614719
1,577946.4,2321472,Croplands,1049.333333,1033.555556,647.6666667,2640.777778,2487.444444,2112.5,1572.222222,0.431272771,-0.437418731
2,505918,2385462,Croplands,394.6764706,542.3529412,262.9117647,3023.058824,2680.558824,1477.857143,674.5294118,0.769042107,-0.695769815
3,505892.5,2371885,Croplands,659.8444444,737.6444444,388.6888889,2372.711111,2105.422222,1373.666667,777.3777778,0.564826146,-0.525684809
4,586561.7,2326424,Croplands,799.5625,741.25,485.125,1816.375,1847.625,1662.75,1278.4375,0.38869908,-0.420360686
5,588622.7,2355934,Croplands,785.6944444,836.6666667,464.1111111,2750.138889,2704.333333,2124.333333,1274.555556,0.555581742,-0.533475315
6,611357.2,2304943,Croplands,914.9230769,871.8461538,492.5641026,2763.25641,2656,1928.625,1371.666667,0.502513088,-0.520318264
7,598662.7,2296645,Croplands,687.3235294,787.8823529,459.1764706,2864.205882,2437.147059,1682.5,847.5882353,0.612942229,-0.568530494
8,538416.7,2366350,Croplands,969.52,926.8,505.72,2934.24,2839.36,2238.444444,1494.28,0.503289137,-0.519922094
9,577744.8,2339893,Croplands,858.3333333,881.8666667,517.9666667,2839.6,2690.5,2110,1412.366667,0.53577674,-0.526064992
10,525260.3,2366423,Croplands,723.7407407,781.3703704,408.8148148,2706.259259,2354.222222,1768.857143,976.8148148,0.577993737,-0.551918952
11,509223.3,2372384,Croplands,651.6829268,714.5853659,380.0487805,2863.365854,2552.268293,1587,833.5365854,0.629204049,-0.600561706
12,577815.3,2329883,Croplands,915.6969697,888.5757576,528.7878788,2483.060606,2510.242424,2002,1411.969697,0.461157821,-0.472911274
13,567686.9,2323180,Croplands,853.0555556,891.6388889,477.1388889,2826.472222,2584.333333,2031.294118,1236.555556,0.536323351,-0.520380719
14,574358.1,2344303,Croplands,867.4571429,902.3428571,518.5428571,2973.714286,2823.8,2261,1396.771429,0.548337189,-0.534401675
15,585397.4,2344258,Croplands,940.75,917.0714286,558.9285714,2559.785714,2652.785714,2348.416667,1557.785714,0.46251084,-0.472471033
16,601138.9,2308753,Croplands,719.5757576,787.8484848,456.9393939,2812.636364,2637.060606,1856.235294,1077,0.592563678,-0.562365338
17,577475.8,2345652,Croplands,849.75,853.375,476.3333333,2798.958333,2735.375,2016,1325.75,0.53421873,-0.532695993
18,615136.3,2336104,Croplands,950.6176471,949.8235294,551.2647059,2610.823529,2257.794118,1608.066667,1007.794118,0.466161253,-0.466488246
19,597822.2,2324143,Croplands,879,889.7647059,521.4117647,2453.352941,2250.411765,1739.5,1228.764706,0.472444837,-0.467703623
20,504436.8,2398728,Croplands,581.45,679.4,413.7,2881.15,2860.2,2010.714286,951.35,0.664154104,-0.618373566
21,512467.4,2389584,Croplands,487.4722222,640.1111111,343.0833333,3105.888889,2907.638889,1901.941176,788.8055556,0.728681751,-0.658242866
22,596959.6,2326919,Croplands,850.1538462,881.0769231,515.0769231,2085.961538,1800.230769,1573.75,944.0384615,0.420898885,-0.406089989
23,622466.5,2327814,Croplands,854.7608696,897.673913,488.6521739,3065.26087,2611.804348,2034.1,1120.847826,0.563899934,-0.546965084
24,585803.3,2337287,Croplands,837.2333333,906.3,518.0666667,2942.1,2779.8,2217.642857,1375.833333,0.556941259,-0.528999065
25,615686.7,2343614,Croplands,886.4666667,916.3666667,511.5666667,2830.4,2685.433333,2142,1329.633333,0.523003246,-0.510849355
26,578709.5,2302562,Croplands,782.2571429,821.3714286,481.3714286,2546.457143,2343.914286,1944.571429,1222.257143,0.529994421,-0.512224918
27,505741.2,2357966,Croplands,656.8837209,743.2325581,381.4883721,2980.744186,2849.302326,1948.714286,1084.162791,0.63883952,-0.600839313
28,502624,2375593,Croplands,648.3157895,733.5526316,412.4210526,2043,1642.815789,1217.608696,663.3421053,0.518216486,-0.471609057
29,529358.3,2342137,Croplands,587.275,674.6,363.975,2743.75,2397.125,1727.722222,1026.475,0.647390818,-0.605306654
30,587190.2,2343865,Croplands,919.6764706,909.4117647,538.4117647,2774.205882,2750.029412,2335.266667,1437.147059,0.502054271,-0.50623987
31,582097.2,2317589,Croplands,808.5833333,783.6666667,518.1666667,1842.25,1840.583333,1667.833333,1313.583333,0.38994027,-0.403129066
32,511195,2394808,Croplands,534.5625,637.5625,353.125,2939.21875,2844.03125,1874.411765,905.53125,0.692230189,-0.643499305
33,513040.7,2398097,Croplands,634.5925926,727.0740741,434,2858.851852,2742.925926,2042,1053.518519,0.636695186,-0.594484611
34,499662.1,2383431,Croplands,801.3030303,828.5757576,476.4848485,2368.545455,2065.181818,1614.588235,967.8181818,0.494421873,-0.481673854
35,614371.3,2311337,Croplands,1033.769231,1019.961538,576.8846154,2641.884615,2366.961538,1963.416667,1191.884615,0.437504578,-0.442924964
36,591564.2,2312265,Croplands,784.9375,832.53125,503.96875,2258.4375,2285.53125,1921.952381,1419.53125,0.484166427,-0.461313706
37,514059.6,2375955,Croplands,575.1764706,682,369.1470588,2505.117647,2200.705882,1475.375,744.7647059,0.626544448,-0.572027094
38,564473.4,2305833,Croplands,701.7954545,760.0227273,422.3181818,2363.136364,2402.681818,1850.956522,1105.181818,0.542048244,-0.513298743
39,578271.2,2319297,Croplands,943.5263158,926.6315789,592.9473684,2402.736842,2239.894737,1948.142857,1532.947368,0.436071659,-0.443358943
40,624383.8,2291782,Croplands,929.6842105,951.3421053,532.6842105,2833.210526,2699.342105,2257.352941,1344.921053,0.505867543,-0.497249901
41,584018.8,2300796,Croplands,980.7111111,1023.288889,587.3555556,2166.822222,1702.177778,1248.761905,747.4222222,0.3768383,-0.358461914
42,518761.9,2347968,Croplands,590.1666667,691.5238095,360.1190476,3093.809524,2958.857143,2051.32,1096.071429,0.679603431,-0.6346299
43,551702.9,2333566,Croplands,664.1282051,758.974359,404.9487179,2721.666667,2577.589744,1897.409091,1122.153846,0.607697318,-0.563888173
44,608988.4,2346946,Croplands,885.6969697,921.5454545,531.6969697,2465.181818,2344.181818,1971.538462,1261.030303,0.471364364,-0.455789982
45,574123.7,2344914,Croplands,787,847.6764706,479.9705882,2920.617647,2803.088235,2222.25,1270.470588,0.57546863,-0.550100685
46,508972,2366975,Croplands,647.9347826,735.9565217,378.826087,2913.76087,2738.913043,2050.142857,992.6956522,0.636164992,-0.596704927
47,617804.9,2300921,Croplands,905.2954545,913.4545455,498.3636364,2918.454545,2585.454545,2183,1178.681818,0.526488157,-0.523237883
48,606916.3,2333510,Croplands,730.4285714,781.2142857,430.8571429,2756.928571,2651.785714,1828.333333,1205.428571,0.581099072,-0.558404328
49,564003.2,2332517,Croplands,789.1363636,830.4318182,448.8863636,2706.886364,2461.068182,1863.583333,1107.590909,0.548551926,-0.53047378
50,584312.6,2356257,Croplands,550.6944444,651.1111111,342.6388889,2723.111111,2676.333333,1805.307692,953.0277778,0.66357535,-0.614067439
51,528911.3,2377702,Croplands,570.2058824,651.9705882,336.3235294,2862.088235,2761,1913.411765,901.0294118,0.667740664,-0.628935871
52,523139.8,2371364,Croplands,710.6097561,741.195122,371.2195122,2932.926829,2824.682927,1909.782609,1099.512195,0.609934063,-0.596532107
53,604582.5,2328243,Croplands,863.96,888.48,486.52,3014.84,2838.64,2264.857143,1308.04,0.554522017,-0.544756771
54,591372.8,2324734,Croplands,778.9090909,810.8181818,457.9545455,2501.045455,2573.818182,2016.888889,1333,0.52504885,-0.510355334
55,528232.9,2328851,Croplands,614.1891892,679.7297297,360.4864865,2951.324324,2836.648649,1946.26087,978.1891892,0.65548346,-0.625601977
56,515999.3,2391085,Croplands,647.2121212,719.9090909,432.0606061,2792.181818,2673.30303,1784.25,964.4848485,0.623647577,-0.590039603
57,630291.5,2339410,Croplands,906.5777778,908.4,486.3111111,2847.955556,2566.911111,2041.47619,1277.4,0.517075654,-0.516339715
58,600780.3,2324005,Croplands,805.64,840.48,479.08,2664.84,2574.48,1969,1190.44,0.535718402,-0.520454623
59,509703.4,2375255,Croplands,715.8684211,769,415.0526316,2781.789474,2344.236842,1630.391304,890.7631579,0.590658411,-0.566856889
